dataset_id,dataset,n_samples,n_features,n_classes,method,ACC_percent,ARI_percent,NMI_percent,valid,source
D1,Yale,165,14150,15,Base clusterings (avg.),64.06,43.31,65.63,YES,ICASSP2027_Table2
D1,Yale,165,14150,15,CSPA,37.58,16.10,40.19,YES,ICASSP2027_Table2
D1,Yale,165,14150,15,HGPA,48.48,29.03,54.47,YES,ICASSP2027_Table2
D1,Yale,165,14150,15,MCLA,58.18,35.50,58.71,YES,ICASSP2027_Table2
D1,Yale,165,14150,15,EAC,52.12,31.60,58.24,YES,ICASSP2027_Table2
D1,Yale,165,14150,15,KCC,54.55,32.43,57.10,YES,ICASSP2027_Table2
D1,Yale,165,14150,15,ECPCS-HC,55.15,35.35,59.44,YES,ICASSP2027_Table2
D1,Yale,165,14150,15,SDGCA,39.39,25.66,51.26,YES,ICASSP2027_Table2
D1,Yale,165,14150,15,RANGE,55.15,32.97,57.60,YES,ICASSP2027_Table2
D1,Yale,165,14150,15,BEGF (Ours),69.09,49.94,71.69,YES,ICASSP2027_Table2
D2,ProteinFold,694,324,27,Base clusterings (avg.),21.54,6.92,29.63,YES,ICASSP2027_Table2
D2,ProteinFold,694,324,27,CSPA,30.69,13.78,40.03,YES,ICASSP2027_Table2
D2,ProteinFold,694,324,27,HGPA,24.64,8.60,29.50,YES,ICASSP2027_Table2
D2,ProteinFold,694,324,27,MCLA,32.56,14.90,40.07,YES,ICASSP2027_Table2
D2,ProteinFold,694,324,27,EAC,13.11,-0.08,11.81,YES,ICASSP2027_Table2
D2,ProteinFold,694,324,27,KCC,30.12,14.31,37.11,YES,ICASSP2027_Table2
D2,ProteinFold,694,324,27,ECPCS-HC,31.41,3.83,38.76,YES,ICASSP2027_Table2
D2,ProteinFold,694,324,27,SDGCA,32.52,15.03,37.27,YES,ICASSP2027_Table2
D2,ProteinFold,694,324,27,RANGE,33.43,17.09,42.06,YES,ICASSP2027_Table2
D2,ProteinFold,694,324,27,BEGF (Ours),38.18,19.07,44.22,YES,ICASSP2027_Table2
D3,COIL20,1440,1024,20,Base clusterings (avg.),65.08,60.13,78.48,YES,ICASSP2027_Table2
D3,COIL20,1440,1024,20,CSPA,70.00,63.82,78.96,YES,ICASSP2027_Table2
D3,COIL20,1440,1024,20,HGPA,50.35,40.92,65.38,YES,ICASSP2027_Table2
D3,COIL20,1440,1024,20,MCLA,71.60,65.41,80.58,YES,ICASSP2027_Table2
D3,COIL20,1440,1024,20,EAC,64.31,43.38,81.63,YES,ICASSP2027_Table2
D3,COIL20,1440,1024,20,KCC,71.32,59.40,78.92,YES,ICASSP2027_Table2
D3,COIL20,1440,1024,20,ECPCS-HC,65.90,62.81,80.65,YES,ICASSP2027_Table2
D3,COIL20,1440,1024,20,SDGCA,68.19,63.40,81.39,YES,ICASSP2027_Table2
D3,COIL20,1440,1024,20,RANGE,48.40,40.83,72.45,YES,ICASSP2027_Table2
D3,COIL20,1440,1024,20,BEGF (Ours),70.76,66.69,81.72,YES,ICASSP2027_Table2
D4,Communities,1994,106,3,Base clusterings (avg.),51.48,15.10,15.08,YES,ICASSP2027_Table2
D4,Communities,1994,106,3,CSPA,50.05,12.88,13.05,YES,ICASSP2027_Table2
D4,Communities,1994,106,3,HGPA,44.38,5.74,6.01,YES,ICASSP2027_Table2
D4,Communities,1994,106,3,MCLA,51.50,15.13,15.10,YES,ICASSP2027_Table2
D4,Communities,1994,106,3,EAC,51.50,15.13,15.10,YES,ICASSP2027_Table2
D4,Communities,1994,106,3,KCC,,,,NO,ICASSP2027_Table2
D4,Communities,1994,106,3,ECPCS-HC,51.50,15.13,15.10,YES,ICASSP2027_Table2
D4,Communities,1994,106,3,SDGCA,45.89,4.88,4.51,YES,ICASSP2027_Table2
D4,Communities,1994,106,3,RANGE,51.50,15.13,15.10,YES,ICASSP2027_Table2
D4,Communities,1994,106,3,BEGF (Ours),51.50,15.13,15.10,YES,ICASSP2027_Table2
D5,Obesity,2111,31,7,Base clusterings (avg.),42.67,25.05,31.22,YES,ICASSP2027_Table2
D5,Obesity,2111,31,7,CSPA,36.62,18.02,25.03,YES,ICASSP2027_Table2
D5,Obesity,2111,31,7,HGPA,34.72,14.85,19.25,YES,ICASSP2027_Table2
D5,Obesity,2111,31,7,MCLA,40.93,22.03,27.52,YES,ICASSP2027_Table2
D5,Obesity,2111,31,7,EAC,42.35,20.86,27.59,YES,ICASSP2027_Table2
D5,Obesity,2111,31,7,KCC,43.82,22.69,29.52,YES,ICASSP2027_Table2
D5,Obesity,2111,31,7,ECPCS-HC,39.18,20.48,28.91,YES,ICASSP2027_Table2
D5,Obesity,2111,31,7,SDGCA,41.10,17.97,26.74,YES,ICASSP2027_Table2
D5,Obesity,2111,31,7,RANGE,41.97,22.94,28.38,YES,ICASSP2027_Table2
D5,Obesity,2111,31,7,BEGF (Ours),42.59,24.94,30.60,YES,ICASSP2027_Table2
D6,USPS,9298,256,10,Base clusterings (avg.),63.46,52.51,59.34,YES,ICASSP2027_Table2
D6,USPS,9298,256,10,CSPA,56.60,41.98,51.47,YES,ICASSP2027_Table2
D6,USPS,9298,256,10,HGPA,11.41,0.00,0.18,YES,ICASSP2027_Table2
D6,USPS,9298,256,10,MCLA,63.43,52.48,59.32,YES,ICASSP2027_Table2
D6,USPS,9298,256,10,EAC,63.45,52.51,59.35,YES,ICASSP2027_Table2
D6,USPS,9298,256,10,KCC,58.39,48.30,56.68,YES,ICASSP2027_Table2
D6,USPS,9298,256,10,ECPCS-HC,63.45,52.51,59.35,YES,ICASSP2027_Table2
D6,USPS,9298,256,10,SDGCA,,,,NO,ICASSP2027_Table2
D6,USPS,9298,256,10,RANGE,63.45,52.51,59.35,YES,ICASSP2027_Table2
D6,USPS,9298,256,10,BEGF (Ours),63.43,52.48,59.31,YES,ICASSP2027_Table2
D7,PAMAP2,18716,128,7,Base clusterings (avg.),50.56,34.16,45.28,YES,ICASSP2027_Table2
D7,PAMAP2,18716,128,7,CSPA,69.25,51.99,58.52,YES,ICASSP2027_Table2
D7,PAMAP2,18716,128,7,HGPA,46.42,26.27,39.05,YES,ICASSP2027_Table2
D7,PAMAP2,18716,128,7,MCLA,64.56,48.62,57.81,YES,ICASSP2027_Table2
D7,PAMAP2,18716,128,7,EAC,17.31,0.00,0.08,YES,ICASSP2027_Table2
D7,PAMAP2,18716,128,7,KCC,72.01,56.50,62.06,YES,ICASSP2027_Table2
D7,PAMAP2,18716,128,7,ECPCS-HC,52.38,34.85,57.23,YES,ICASSP2027_Table2
D7,PAMAP2,18716,128,7,SDGCA,,,,NO,ICASSP2027_Table2
D7,PAMAP2,18716,128,7,RANGE,74.78,61.36,66.60,YES,ICASSP2027_Table2
D7,PAMAP2,18716,128,7,BEGF (Ours),69.73,58.58,67.71,YES,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,Base clusterings (avg.),27.58,14.31,37.15,YES,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,CSPA,,,,NO,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,HGPA,20.57,9.74,28.07,YES,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,MCLA,27.56,14.13,36.79,YES,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,EAC,,,,NO,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,KCC,25.10,12.00,34.74,YES,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,ECPCS-HC,,,,NO,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,SDGCA,,,,NO,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,RANGE,26.76,14.16,36.56,YES,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,BEGF (Ours),27.17,14.28,37.06,YES,ICASSP2027_Table2
