dataset_id,dataset,n_samples,n_features,n_classes,method,ACC_full_precision,ARI_full_precision,NMI_full_precision,ACC_display_2dp,ARI_display_2dp,NMI_display_2dp,valid,source
D1,Yale,165,14150,15,Base clusterings (avg.),64.060606060606062,43.309698341454184,65.62673812368397,64.06,43.31,65.63,YES,BASE_PARTITION_MEAN_METRICS_RECOVERED_RAW.csv#dataset=yale;unit=fraction_to_percent
D1,Yale,165,14150,15,CSPA,37.575757575757573,16.096025186934279,40.188541998203264,37.58,16.10,40.19,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Yale;method=CSPA;unit=fraction_to_percent
D1,Yale,165,14150,15,HGPA,51.515151515151514,32.006918002147927,57.76236717474762,51.52,32.01,57.76,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Yale;method=HGPA;unit=fraction_to_percent
D1,Yale,165,14150,15,MCLA,58.181818181818179,35.496189036032322,58.713881261897083,58.18,35.50,58.71,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Yale;method=MCLA;unit=fraction_to_percent
D1,Yale,165,14150,15,EAC,52.12121212121212,31.603941007282293,58.24272282073368,52.12,31.60,58.24,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Yale;method=EAC;unit=fraction_to_percent
D1,Yale,165,14150,15,KCC,54.545454545454541,32.429081893094142,57.10035952259287,54.55,32.43,57.10,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Yale;method=KCC;unit=fraction_to_percent
D1,Yale,165,14150,15,ECPCS-HC,55.15151515151515,35.34538903900783,59.44005668042686,55.15,35.35,59.44,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Yale;method=ECPCS-HC;unit=fraction_to_percent
D1,Yale,165,14150,15,SDGCA,38.181818181818183,24.299580513794053,49.667166899101767,38.18,24.30,49.67,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Yale;method=SDGCA;unit=fraction_to_percent
D1,Yale,165,14150,15,RANGE,55.151515151515151,32.970998739075619,57.598156208330953,55.15,32.97,57.60,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Yale;method=RANGE;unit=fraction_to_percent
D1,Yale,165,14150,15,BEGF (Ours),69.090909090909092,49.938504852930282,71.690826774895255,69.09,49.94,71.69,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Yale;method=BMGF-PROJ-L;unit=fraction_to_percent
D2,ProteinFold,694,324,27,Base clusterings (avg.),21.544188280499518,6.9188589609953971,29.633360072008685,21.54,6.92,29.63,YES,BASE_PARTITION_MEAN_METRICS_RAW.csv#dataset=ProteinFold-694-12view;unit=fraction_to_percent
D2,ProteinFold,694,324,27,CSPA,30.69164265129683,13.780651294072127,40.030508274355459,30.69,13.78,40.03,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=ProteinFold;method=CSPA;unit=fraction_to_percent
D2,ProteinFold,694,324,27,HGPA,24.639769452449567,8.5975690317811118,29.495796985203526,24.64,8.60,29.50,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=ProteinFold;method=HGPA;unit=fraction_to_percent
D2,ProteinFold,694,324,27,MCLA,32.564841498559077,14.895468422378441,40.066716077072578,32.56,14.90,40.07,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=ProteinFold;method=MCLA;unit=fraction_to_percent
D2,ProteinFold,694,324,27,EAC,13.112391930835735,-0.08413269721170135,11.811209458340215,13.11,-0.08,11.81,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=ProteinFold;method=EAC;unit=fraction_to_percent
D2,ProteinFold,694,324,27,KCC,30.115273775216139,14.311605549405698,37.107185210703669,30.12,14.31,37.11,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=ProteinFold;method=KCC;unit=fraction_to_percent
D2,ProteinFold,694,324,27,ECPCS-HC,31.412103746397696,3.8282465750901815,38.76222449058314,31.41,3.83,38.76,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=ProteinFold;method=ECPCS-HC;unit=fraction_to_percent
D2,ProteinFold,694,324,27,SDGCA,29.827089337175794,13.196081747819408,35.703697477948892,29.83,13.20,35.70,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=ProteinFold;method=SDGCA;unit=fraction_to_percent
D2,ProteinFold,694,324,27,RANGE,33.429394812680113,17.092350517834035,42.061540019529353,33.43,17.09,42.06,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=ProteinFold;method=RANGE;unit=fraction_to_percent
D2,ProteinFold,694,324,27,BEGF (Ours),38.184438040345819,19.072169813955595,44.224472350186578,38.18,19.07,44.22,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=ProteinFold;method=BMGF-PROJ-L;unit=fraction_to_percent
D3,COIL20,1440,1024,20,Base clusterings (avg.),65.076388888888892,60.129122333755636,78.477739928116708,65.08,60.13,78.48,YES,BASE_PARTITION_MEAN_METRICS_RAW.csv#dataset=COIL20_wave2;unit=fraction_to_percent
D3,COIL20,1440,1024,20,CSPA,69.999999999999996,63.822487078654555,78.961812545116983,70.00,63.82,78.96,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=COIL20;method=CSPA;unit=fraction_to_percent
D3,COIL20,1440,1024,20,HGPA,50.347222222222221,40.921337481662767,65.384669014305641,50.35,40.92,65.38,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=COIL20;method=HGPA;unit=fraction_to_percent
D3,COIL20,1440,1024,20,MCLA,71.597222222222223,65.407171040127554,80.584544091382537,71.60,65.41,80.58,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=COIL20;method=MCLA;unit=fraction_to_percent
D3,COIL20,1440,1024,20,EAC,64.30555555555556,43.38334380487292,81.632507358602557,64.31,43.38,81.63,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=COIL20;method=EAC;unit=fraction_to_percent
D3,COIL20,1440,1024,20,KCC,71.319444444444446,59.402296571921043,78.923885645027658,71.32,59.40,78.92,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=COIL20;method=KCC;unit=fraction_to_percent
D3,COIL20,1440,1024,20,ECPCS-HC,65.902777777777777,62.805383471951437,80.645849311550688,65.90,62.81,80.65,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=COIL20;method=ECPCS-HC;unit=fraction_to_percent
D3,COIL20,1440,1024,20,SDGCA,68.194444444444446,63.404453731189325,81.394843628090496,68.19,63.40,81.39,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=COIL20;method=SDGCA;unit=fraction_to_percent
D3,COIL20,1440,1024,20,RANGE,48.402777777777778,40.834909836980166,72.453115580183269,48.40,40.83,72.45,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=COIL20;method=RANGE;unit=fraction_to_percent
D3,COIL20,1440,1024,20,BEGF (Ours),70.694444444444449,66.645124769577335,81.604993742852339,70.69,66.65,81.60,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=COIL20;method=BMGF-PROJ-L;unit=fraction_to_percent
D4,Communities,1994,106,3,Base clusterings (avg.),51.48445336008024,15.101052649981717,15.079596752089472,51.48,15.10,15.08,YES,BASE_PARTITION_MEAN_METRICS_RAW.csv#dataset=communities_race;unit=fraction_to_percent
D4,Communities,1994,106,3,CSPA,50.050150451354058,12.883768672519552,13.046232838902991,50.05,12.88,13.05,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Communities;method=CSPA;unit=fraction_to_percent
D4,Communities,1994,106,3,HGPA,44.383149448345033,5.7363550446344037,6.010444314866787,44.38,5.74,6.01,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Communities;method=HGPA;unit=fraction_to_percent
D4,Communities,1994,106,3,MCLA,51.504513540621866,15.128524594728787,15.099825567411904,51.50,15.13,15.10,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Communities;method=MCLA;unit=fraction_to_percent
D4,Communities,1994,106,3,EAC,51.504513540621866,15.128524594728787,15.099825567411904,51.50,15.13,15.10,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Communities;method=EAC;unit=fraction_to_percent
D4,Communities,1994,106,3,KCC,,,,,,,NO,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Communities;method=KCC;status=INVALID_K_WAY;no_metric_for_invalid_paper_row
D4,Communities,1994,106,3,ECPCS-HC,51.504513540621866,15.128524594728787,15.099825567411904,51.50,15.13,15.10,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Communities;method=ECPCS-HC;unit=fraction_to_percent
D4,Communities,1994,106,3,SDGCA,45.887662988966899,4.8839013259054556,4.5080836420493813,45.89,4.88,4.51,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Communities;method=SDGCA;unit=fraction_to_percent
D4,Communities,1994,106,3,RANGE,51.504513540621866,15.128524594728779,15.099825567411879,51.50,15.13,15.10,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Communities;method=RANGE;unit=fraction_to_percent
D4,Communities,1994,106,3,BEGF (Ours),51.504513540621866,15.128524594728787,15.099825567411904,51.50,15.13,15.10,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Communities;method=BMGF-PROJ-L;unit=fraction_to_percent
D5,Obesity,2111,31,7,Base clusterings (avg.),42.666982472761728,25.052111968712593,31.22276490825745,42.67,25.05,31.22,YES,BASE_PARTITION_MEAN_METRICS_RECOVERED_RAW.csv#dataset=obesity;unit=fraction_to_percent
D5,Obesity,2111,31,7,CSPA,36.617716721932736,18.02030476389708,25.034303155985255,36.62,18.02,25.03,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=CSPA;unit=fraction_to_percent
D5,Obesity,2111,31,7,HGPA,34.722880151586927,14.848756261083529,19.248756848961102,34.72,14.85,19.25,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=HGPA;unit=fraction_to_percent
D5,Obesity,2111,31,7,MCLA,40.928469919469446,22.026865066712378,27.521423637814957,40.93,22.03,27.52,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=MCLA;unit=fraction_to_percent
D5,Obesity,2111,31,7,EAC,42.349597347228801,20.858705598779856,27.588730658282051,42.35,20.86,27.59,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=EAC;unit=fraction_to_percent
D5,Obesity,2111,31,7,KCC,43.8180956892468,22.691989638841942,29.519748156764597,43.82,22.69,29.52,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=KCC;unit=fraction_to_percent
D5,Obesity,2111,31,7,ECPCS-HC,39.175746091899571,20.478158482192413,28.91063621494378,39.18,20.48,28.91,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=ECPCS-HC;unit=fraction_to_percent
D5,Obesity,2111,31,7,SDGCA,41.970630033159639,18.326116186033528,26.47029975789848,41.97,18.33,26.47,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=SDGCA;unit=fraction_to_percent
D5,Obesity,2111,31,7,RANGE,41.970630033159639,22.937785713942349,28.382305877227754,41.97,22.94,28.38,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=RANGE;unit=fraction_to_percent
D5,Obesity,2111,31,7,BEGF (Ours),42.586451918522028,24.94013585525518,30.598186034557878,42.59,24.94,30.60,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=Obesity;method=BMGF-PROJ-L;unit=fraction_to_percent
D6,USPS,9298,256,10,Base clusterings (avg.),63.459883845988385,52.506024727037626,59.342036465899373,63.46,52.51,59.34,YES,BASE_PARTITION_MEAN_METRICS_RAW.csv#dataset=USPS_wave2;unit=fraction_to_percent
D6,USPS,9298,256,10,CSPA,56.603570660357061,41.977314361001872,51.473739348591918,56.60,41.98,51.47,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=USPS;method=CSPA;unit=fraction_to_percent
D6,USPS,9298,256,10,HGPA,11.411056141105615,-0.0014200791224248468,0.17690202084691632,11.41,0.00,0.18,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=USPS;method=HGPA;unit=fraction_to_percent
D6,USPS,9298,256,10,MCLA,63.43299634329963,52.483192907998155,59.3153664017674,63.43,52.48,59.32,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=USPS;method=MCLA;unit=fraction_to_percent
D6,USPS,9298,256,10,EAC,63.454506345450634,52.509260308765793,59.352538213267525,63.45,52.51,59.35,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=USPS;method=EAC;unit=fraction_to_percent
D6,USPS,9298,256,10,KCC,58.388900838890079,48.304941014338049,56.684267945318179,58.39,48.30,56.68,YES,FINAL_PAPERSET_FIXED9002_FULL_PRECISION.csv#dataset=USPS;method=KCC;unit=fraction_to_percent
